CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,RaceNumber,TeamEncoded,delta_velocity,lateral_stress_cumul,abrasive_stress_cumul,stress_x_temp,compound_x_abrasivity,compound_x_lateral,compound_x_tyrelife,prev_stint_max_delta,stint_length,tyre_life_pct
3,4.0,31.8,54.0,3.1,3.1,0.0,4.0,1.0,46,0,0.0,12.4,12.4,394.32,9.3,9.3,12.0,,28.0,0.14285714285714285
3,5.0,31.7,53.0,3.1,3.1,0.4904776119402925,5.0,1.0,46,0,0.4904776119402925,15.5,15.5,491.34999999999997,9.3,9.3,15.0,,28.0,0.17857142857142858
3,6.0,31.8,52.0,3.1,3.1,0.10782840236686297,6.0,1.0,46,0,-0.3826492095734295,18.6,18.6,591.48,9.3,9.3,18.0,,28.0,0.21428571428571427
3,7.0,31.8,51.0,3.1,3.1,0.43200000000000216,7.0,1.0,46,0,0.3241715976331392,21.7,21.7,690.06,9.3,9.3,21.0,,28.0,0.25
3,8.0,31.9,50.0,3.1,3.1,0.5497647058823389,8.0,1.0,46,0,0.11776470588233678,24.8,24.8,791.12,9.3,9.3,24.0,,28.0,0.2857142857142857
3,9.0,31.6,49.0,3.1,3.1,0.20340963855420569,9.0,1.0,46,0,-0.34635506732813326,27.900000000000002,27.900000000000002,881.6400000000001,9.3,9.3,27.0,,28.0,0.32142857142857145
3,10.0,31.7,48.0,3.1,3.1,1.046999999999997,10.0,1.0,46,0,0.8435903614457914,31.0,31.0,982.6999999999999,9.3,9.3,30.0,,28.0,0.35714285714285715
3,11.0,31.2,47.0,3.1,3.1,1.009999999999991,11.0,1.0,46,0,-0.03700000000000614,34.1,34.1,1063.92,9.3,9.3,33.0,,28.0,0.39285714285714285
3,12.0,31.5,46.0,3.1,3.1,0.961339233038359,12.0,1.0,46,0,-0.04866076696163191,37.2,37.2,1171.8000000000002,9.3,9.3,36.0,,28.0,0.42857142857142855
3,13.0,31.6,45.0,3.1,3.1,0.8269999999999982,13.0,1.0,46,0,-0.13433923303836082,40.300000000000004,40.300000000000004,1273.48,9.3,9.3,39.0,,28.0,0.4642857142857143
3,14.0,31.5,44.0,3.1,3.1,0.7939999999999969,14.0,1.0,46,0,-0.03300000000000125,43.4,43.4,1367.1000000000001,9.3,9.3,42.0,,28.0,0.5
3,15.0,31.3,43.0,3.1,3.1,0.5589999999999975,15.0,1.0,46,0,-0.23499999999999943,46.5,46.5,1455.45,9.3,9.3,45.0,,28.0,0.5357142857142857
3,16.0,31.3,42.0,3.1,3.1,0.7469999999999999,16.0,1.0,46,0,0.1880000000000024,49.6,49.6,1552.48,9.3,9.3,48.0,,28.0,0.5714285714285714
3,17.0,31.2,41.0,3.1,3.1,0.6259999999999906,17.0,1.0,46,0,-0.12100000000000932,52.7,52.7,1644.24,9.3,9.3,51.0,,28.0,0.6071428571428571
3,18.0,31.2,40.0,3.1,3.1,0.5600000000000023,18.0,1.0,46,0,-0.06599999999998829,55.800000000000004,55.800000000000004,1740.96,9.3,9.3,54.0,,28.0,0.6428571428571429
3,19.0,31.3,39.0,3.1,3.1,0.8269999999999982,19.0,1.0,46,0,0.2669999999999959,58.9,58.9,1843.57,9.3,9.3,57.0,,28.0,0.6785714285714286
3,20.0,31.4,38.0,3.1,3.1,0.7719999999999914,20.0,1.0,46,0,-0.05500000000000682,62.0,62.0,1946.8000000000002,9.3,9.3,60.0,,28.0,0.7142857142857143
3,21.0,31.2,37.0,3.1,3.1,0.47999999999998977,21.0,1.0,46,0,-0.2920000000000016,65.10000000000001,65.10000000000001,2031.12,9.3,9.3,63.0,,28.0,0.75
3,22.0,31.3,36.0,3.1,3.1,0.6910000000000025,22.0,1.0,46,0,0.21100000000001273,68.2,68.2,2134.66,9.3,9.3,66.0,,28.0,0.7857142857142857
3,23.0,31.0,35.0,3.1,3.1,0.7579999999999956,23.0,1.0,46,0,0.06699999999999307,71.3,71.3,2210.3,9.3,9.3,69.0,,28.0,0.8214285714285714
3,24.0,31.1,34.0,3.1,3.1,0.5859999999999985,24.0,1.0,46,0,-0.17199999999999704,74.4,74.4,2313.84,9.3,9.3,72.0,,28.0,0.8571428571428571
3,25.0,30.9,33.0,3.1,3.1,0.7049999999999983,25.0,1.0,46,0,0.11899999999999977,77.5,77.5,2394.75,9.3,9.3,75.0,,28.0,0.8928571428571429
3,26.0,30.9,32.0,3.1,3.1,1.137999999999991,26.0,1.0,46,0,0.4329999999999927,80.60000000000001,80.60000000000001,2490.54,9.3,9.3,78.0,,28.0,0.9285714285714286
3,27.0,30.8,31.0,3.1,3.1,0.7839999999999918,27.0,1.0,46,0,-0.3539999999999992,83.7,83.7,2577.96,9.3,9.3,81.0,,28.0,0.9642857142857143
3,28.0,30.8,30.0,3.1,3.1,1.1779999999999973,28.0,1.0,46,0,0.39400000000000546,86.8,86.8,2673.44,9.3,9.3,84.0,,28.0,1.0
2,2.0,30.6,27.0,3.1,3.1,0.0,31.0,2.0,46,0,0.0,6.2,6.2,189.72000000000003,6.2,6.2,4.0,1.1779999999999973,29.0,0.06896551724137931
2,3.0,30.5,26.0,3.1,3.1,0.45700000000003627,32.0,2.0,46,0,0.45700000000003627,9.3,9.3,283.65,6.2,6.2,6.0,1.1779999999999973,29.0,0.10344827586206896
2,4.0,30.5,25.0,3.1,3.1,0.2790000000000248,33.0,2.0,46,0,-0.17800000000001148,12.4,12.4,378.2,6.2,6.2,8.0,1.1779999999999973,29.0,0.13793103448275862
2,5.0,30.6,24.0,3.1,3.1,0.3720000000000283,34.0,2.0,46,0,0.09300000000000352,15.5,15.5,474.30000000000007,6.2,6.2,10.0,1.1779999999999973,29.0,0.1724137931034483
2,6.0,30.3,23.0,3.1,3.1,1.0910000000000224,35.0,2.0,46,0,0.7189999999999941,18.6,18.6,563.58,6.2,6.2,12.0,1.1779999999999973,29.0,0.20689655172413793
2,7.0,30.4,22.0,3.1,3.1,0.5540000000000305,36.0,2.0,46,0,-0.5369999999999919,21.7,21.7,659.68,6.2,6.2,14.0,1.1779999999999973,29.0,0.2413793103448276
2,8.0,30.3,21.0,3.1,3.1,0.4270000000000209,37.0,2.0,46,0,-0.12700000000000955,24.8,24.8,751.44,6.2,6.2,16.0,1.1779999999999973,29.0,0.27586206896551724
2,9.0,30.3,20.0,3.1,3.1,0.39100000000001955,38.0,2.0,46,0,-0.036000000000001364,27.900000000000002,27.900000000000002,845.3700000000001,6.2,6.2,18.0,1.1779999999999973,29.0,0.3103448275862069
2,10.0,30.1,19.0,3.1,3.1,0.3440000000000225,39.0,2.0,46,0,-0.046999999999997044,31.0,31.0,933.1,6.2,6.2,20.0,1.1779999999999973,29.0,0.3448275862068966
2,11.0,30.2,18.0,3.1,3.1,0.410000000000025,40.0,2.0,46,0,0.0660000000000025,34.1,34.1,1029.8200000000002,6.2,6.2,22.0,1.1779999999999973,29.0,0.3793103448275862
2,12.0,30.1,17.0,3.1,3.1,0.521000000000015,41.0,2.0,46,0,0.11099999999999,37.2,37.2,1119.72,6.2,6.2,24.0,1.1779999999999973,29.0,0.41379310344827586
2,13.0,30.2,16.0,3.1,3.1,0.2120000000000175,42.0,2.0,46,0,-0.3089999999999975,40.300000000000004,40.300000000000004,1217.06,6.2,6.2,26.0,1.1779999999999973,29.0,0.4482758620689655
2,14.0,30.1,15.0,3.1,3.1,0.2050000000000125,43.0,2.0,46,0,-0.007000000000005002,43.4,43.4,1306.3400000000001,6.2,6.2,28.0,1.1779999999999973,29.0,0.4827586206896552
