Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global,BestCorrectedByStint
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,4.0,31.8,54.0,3.1,3.1,0.0,4.0,1.0,89.572,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,5.0,31.7,53.0,3.1,3.1,0.4904776119402925,5.0,1.0,90.0624776119403,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,6.0,31.8,52.0,3.1,3.1,0.10782840236686297,6.0,1.0,89.67982840236687,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,7.0,31.8,51.0,3.1,3.1,0.43200000000000216,7.0,1.0,90.004,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,8.0,31.9,50.0,3.1,3.1,0.5497647058823389,8.0,1.0,90.12176470588234,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,9.0,31.6,49.0,3.1,3.1,0.20340963855420569,9.0,1.0,89.77540963855421,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,10.0,31.7,48.0,3.1,3.1,1.0469999999999828,10.0,1.0,90.61899999999999,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,11.0,31.2,47.0,3.1,3.1,1.0100000000000051,11.0,1.0,90.58200000000001,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,12.0,31.5,46.0,3.1,3.1,0.961339233038359,12.0,1.0,90.53333923303836,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,13.0,31.6,45.0,3.1,3.1,0.8269999999999982,13.0,1.0,90.399,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,14.0,31.5,44.0,3.1,3.1,0.7939999999999969,14.0,1.0,90.366,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,15.0,31.3,43.0,3.1,3.1,0.5590000000000117,15.0,1.0,90.13100000000001,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,16.0,31.3,42.0,3.1,3.1,0.7469999999999999,16.0,1.0,90.319,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,17.0,31.2,41.0,3.1,3.1,0.6260000000000048,17.0,1.0,90.19800000000001,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,18.0,31.2,40.0,3.1,3.1,0.5599999999999881,18.0,1.0,90.13199999999999,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,19.0,31.3,39.0,3.1,3.1,0.8269999999999982,19.0,1.0,90.399,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,20.0,31.4,38.0,3.1,3.1,0.7720000000000056,20.0,1.0,90.34400000000001,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,21.0,31.2,37.0,3.1,3.1,0.47999999999998977,21.0,1.0,90.05199999999999,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,22.0,31.3,36.0,3.1,3.1,0.6909999999999883,22.0,1.0,90.26299999999999,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,23.0,31.0,35.0,3.1,3.1,0.7579999999999956,23.0,1.0,90.33,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,24.0,31.1,34.0,3.1,3.1,0.5859999999999985,24.0,1.0,90.158,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,25.0,30.9,33.0,3.1,3.1,0.7049999999999983,25.0,1.0,90.277,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,26.0,30.9,32.0,3.1,3.1,1.137999999999991,26.0,1.0,90.71,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,27.0,30.8,31.0,3.1,3.1,0.7839999999999918,27.0,1.0,90.356,89.572
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,28.0,30.8,30.0,3.1,3.1,1.1779999999999973,28.0,1.0,90.75,89.572
2024,Abu Dhabi Grand Prix,1,HARD,2,2.0,30.6,27.0,3.1,3.1,0.0,31.0,2.0,88.61499999999998,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,3.0,30.5,26.0,3.1,3.1,0.45700000000003627,32.0,2.0,89.07200000000002,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,4.0,30.5,25.0,3.1,3.1,0.2790000000000248,33.0,2.0,88.894,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,5.0,30.6,24.0,3.1,3.1,0.3720000000000283,34.0,2.0,88.98700000000001,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,6.0,30.3,23.0,3.1,3.1,1.0910000000000224,35.0,2.0,89.706,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,7.0,30.4,22.0,3.1,3.1,0.5540000000000305,36.0,2.0,89.16900000000001,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,8.0,30.3,21.0,3.1,3.1,0.4270000000000209,37.0,2.0,89.042,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,9.0,30.3,20.0,3.1,3.1,0.39100000000001955,38.0,2.0,89.006,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,10.0,30.1,19.0,3.1,3.1,0.3440000000000225,39.0,2.0,88.959,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,11.0,30.2,18.0,3.1,3.1,0.410000000000025,40.0,2.0,89.025,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,12.0,30.1,17.0,3.1,3.1,0.521000000000015,41.0,2.0,89.136,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,13.0,30.2,16.0,3.1,3.1,0.2120000000000175,42.0,2.0,88.827,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,14.0,30.1,15.0,3.1,3.1,0.2050000000000125,43.0,2.0,88.82,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,15.0,30.1,14.0,3.1,3.1,0.6340000000000288,44.0,2.0,89.24900000000001,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,16.0,30.0,13.0,3.1,3.1,0.3823392330383655,45.0,2.0,88.99733923303835,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,17.0,30.0,12.0,3.1,3.1,0.39800000000001035,46.0,2.0,89.01299999999999,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,18.0,29.7,11.0,3.1,3.1,0.48800000000001376,47.0,2.0,89.103,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,19.0,29.7,10.0,3.1,3.1,0.09400000000002251,48.0,2.0,88.709,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,20.0,29.6,9.0,3.1,3.1,0.14500000000002444,49.0,2.0,88.76,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,21.0,29.5,8.0,3.1,3.1,0.19600000000001216,50.0,2.0,88.81099999999999,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,22.0,29.6,7.0,3.1,3.1,0.07200000000000273,51.0,2.0,88.68699999999998,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,23.0,29.4,6.0,3.1,3.1,0.3160000000000025,52.0,2.0,88.93099999999998,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,24.0,29.4,5.0,3.1,3.1,0.35000000000002274,53.0,2.0,88.965,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,25.0,29.4,4.0,3.1,3.1,0.6550000000000296,54.0,2.0,89.27000000000001,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,26.0,29.3,3.0,3.1,3.1,0.14100000000001955,55.0,2.0,88.756,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,27.0,29.4,2.0,3.1,3.1,0.10200000000001808,56.0,2.0,88.717,88.61499999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,29.0,29.3,0.0,3.1,3.1,1.1510000000000247,58.0,2.0,89.766,88.61499999999998
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,4.0,31.8,54.0,3.1,3.1,0.0,4.0,1.0,89.66514114114115,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,5.0,31.9,53.0,3.1,3.1,0.030858858858849203,5.0,1.0,89.696,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,6.0,31.8,52.0,3.1,3.1,0.4508588588588367,6.0,1.0,90.11599999999999,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,7.0,31.8,51.0,3.1,3.1,0.1978588588588508,7.0,1.0,89.863,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,8.0,31.9,50.0,3.1,3.1,0.20285885885884625,8.0,1.0,89.868,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,9.0,31.5,49.0,3.1,3.1,0.11885885885884306,9.0,1.0,89.78399999999999,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,10.0,31.7,48.0,3.1,3.1,0.6318588588588341,10.0,1.0,90.29699999999998,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,11.0,31.7,47.0,3.1,3.1,0.5938588588588658,11.0,1.0,90.25900000000001,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,12.0,31.5,46.0,3.1,3.1,0.7128588588588656,12.0,1.0,90.37800000000001,89.66514114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,13.0,31.6,45.0,3.1,3.1,0.7288588588588567,13.0,1.0,90.394,89.66514114114115
2024,Abu Dhabi Grand Prix,10,HARD,2,2.0,31.3,42.0,3.1,3.1,0.3580000000000041,16.0,2.0,90.19900000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,3.0,31.2,41.0,3.1,3.1,0.5312891566264994,17.0,2.0,90.37228915662651,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,4.0,31.2,40.0,3.1,3.1,0.5879999999999939,18.0,2.0,90.429,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,5.0,31.3,39.0,3.1,3.1,0.04899999999999238,19.0,2.0,89.89,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,6.0,31.4,38.0,3.1,3.1,0.06099999999999284,20.0,2.0,89.902,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,7.0,31.2,37.0,3.1,3.1,0.24099999999998545,21.0,2.0,90.082,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,9.0,31.0,35.0,3.1,3.1,0.6869999999999976,23.0,2.0,90.528,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,11.0,30.9,33.0,3.1,3.1,0.333999999999989,25.0,2.0,90.175,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,12.0,30.9,32.0,3.1,3.1,0.28899999999998727,26.0,2.0,90.13,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,13.0,30.8,31.0,3.1,3.1,0.998999999999981,27.0,2.0,90.83999999999999,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,14.0,30.8,30.0,3.1,3.1,0.23099999999999454,28.0,2.0,90.072,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,15.0,30.8,29.0,3.1,3.1,0.06099999999999284,29.0,2.0,89.902,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,18.0,30.5,26.0,3.1,3.1,0.3500000000000085,32.0,2.0,90.19100000000002,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,19.0,30.5,25.0,3.1,3.1,0.2360000000000042,33.0,2.0,90.07700000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,20.0,30.6,24.0,3.1,3.1,0.16799999999999216,34.0,2.0,90.009,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,21.0,30.3,23.0,3.1,3.1,0.2539999999999907,35.0,2.0,90.095,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,22.0,30.4,22.0,3.1,3.1,0.09199999999999875,36.0,2.0,89.933,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,23.0,30.3,21.0,3.1,3.1,0.0,37.0,2.0,89.84100000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,24.0,30.3,20.0,3.1,3.1,0.31099999999999284,38.0,2.0,90.152,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,25.0,30.1,19.0,3.1,3.1,0.14299999999998647,39.0,2.0,89.984,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,26.0,30.2,18.0,3.1,3.1,0.21099999999999852,40.0,2.0,90.052,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,27.0,30.1,17.0,3.1,3.1,0.35999999999999943,41.0,2.0,90.20100000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,28.0,30.2,16.0,3.1,3.1,0.8709999999999951,42.0,2.0,90.712,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,29.0,30.1,15.0,3.1,3.1,0.3429999999999893,43.0,2.0,90.184,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,30.0,30.1,14.0,3.1,3.1,0.28600000000000136,44.0,2.0,90.12700000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,31.0,30.0,13.0,3.1,3.1,1.3249999999999886,45.0,2.0,91.166,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,32.0,30.0,12.0,3.1,3.1,0.590999999999994,46.0,2.0,90.432,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,33.0,29.7,11.0,3.1,3.1,0.48099999999998033,47.0,2.0,90.32199999999999,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,34.0,29.7,10.0,3.1,3.1,0.4089999999999918,48.0,2.0,90.25,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,35.0,29.6,9.0,3.1,3.1,0.4849999999999852,49.0,2.0,90.326,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,36.0,29.5,8.0,3.1,3.1,0.6149999999999807,50.0,2.0,90.45599999999999,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,37.0,29.4,7.0,3.1,3.1,0.59699999999998,51.0,2.0,90.43799999999999,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,38.0,29.4,6.0,3.1,3.1,0.6929999999999836,52.0,2.0,90.53399999999999,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,39.0,29.4,5.0,3.1,3.1,0.7360000000000042,53.0,2.0,90.57700000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,40.0,29.4,4.0,3.1,3.1,0.5240000000000009,54.0,2.0,90.36500000000001,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,41.0,29.3,3.0,3.1,3.1,1.2659999999999911,55.0,2.0,91.107,89.84100000000001
2024,Abu Dhabi Grand Prix,10,HARD,2,42.0,29.4,2.0,3.1,3.1,0.6519999999999868,56.0,2.0,90.493,89.84100000000001
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,5.0,31.8,54.0,3.1,3.1,0.0,4.0,1.0,89.6954131736527,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,6.0,31.9,53.0,3.1,3.1,0.6375749215853972,5.0,1.0,90.3329880952381,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,7.0,31.8,52.0,3.1,3.1,0.40274225156723276,6.0,1.0,90.09815542521993,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,8.0,31.8,51.0,3.1,3.1,0.3815719009741656,7.0,1.0,90.07698507462686,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,9.0,31.9,50.0,3.1,3.1,0.6421252878857615,8.0,1.0,90.33753846153846,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,10.0,31.5,49.0,3.1,3.1,0.7189341317365177,9.0,1.0,90.41434730538921,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,11.0,31.7,48.0,3.1,3.1,2.18258682634729,10.0,1.0,91.87799999999999,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,12.0,31.2,47.0,3.1,3.1,1.5795868263473096,11.0,1.0,91.275,89.6954131736527
2024,Abu Dhabi Grand Prix,14,MEDIUM,1,13.0,31.5,46.0,3.1,3.1,2.3295868263473096,12.0,1.0,92.025,89.6954131736527
2024,Abu Dhabi Grand Prix,14,HARD,2,3.0,31.3,43.0,3.1,3.1,0.14000000000001478,15.0,2.0,90.01100000000001,89.871
