Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,4.0,31.9,54.0,3,3,0.9360000000000213,4.0,1.0,89.6185
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,5.0,31.7,53.0,3,3,1.4294776119403139,5.0,1.0,90.11197761194029
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,6.0,31.8,52.0,3,3,1.0453284023668914,6.0,1.0,89.72782840236687
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,7.0,31.8,51.0,3,3,1.3695000000000306,7.0,1.0,90.052
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,8.0,31.5,50.0,3,3,1.4917647058823604,8.0,1.0,90.17426470588234
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,9.0,31.6,49.0,3,3,1.1439096385542342,9.0,1.0,89.82640963855421
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,10.0,31.7,48.0,3,3,1.9860000000000042,10.0,1.0,90.66849999999998
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,11.0,31.2,47.0,3,3,1.9565000000000339,11.0,1.0,90.63900000000001
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,12.0,31.6,46.0,3,3,1.9018392330383875,12.0,1.0,90.58433923303836
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,13.0,31.6,45.0,3,3,1.7675000000000267,13.0,1.0,90.45
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,14.0,31.3,44.0,3,3,1.7390000000000185,14.0,1.0,90.4215
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,15.0,31.3,43.0,3,3,1.5040000000000333,15.0,1.0,90.18650000000001
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,16.0,31.3,42.0,3,3,1.6920000000000215,16.0,1.0,90.3745
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,17.0,31.2,41.0,3,3,1.5725000000000335,17.0,1.0,90.25500000000001
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,18.0,31.3,40.0,3,3,1.5050000000000097,18.0,1.0,90.18749999999999
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,19.0,31.3,39.0,3,3,1.7720000000000198,19.0,1.0,90.4545
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,20.0,31.3,38.0,3,3,1.7170000000000272,20.0,1.0,90.3995
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,21.0,31.2,37.0,3,3,1.4265000000000185,21.0,1.0,90.109
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,22.0,31.0,36.0,3,3,1.6405000000000172,22.0,1.0,90.323
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,23.0,31.0,35.0,3,3,1.7075000000000244,23.0,1.0,90.39
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,24.0,31.1,34.0,3,3,1.5340000000000202,24.0,1.0,90.2165
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,25.0,30.9,33.0,3,3,1.6560000000000201,25.0,1.0,90.3385
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,26.0,30.9,32.0,3,3,2.089000000000013,26.0,1.0,90.77149999999999
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,27.0,30.8,31.0,3,3,1.7365000000000208,27.0,1.0,90.419
2024,Abu Dhabi Grand Prix,1,MEDIUM,1,28.0,30.7,30.0,3,3,2.132000000000019,28.0,1.0,90.8145
2024,Abu Dhabi Grand Prix,1,HARD,2,2.0,30.5,27.0,3,3,0.0,31.0,2.0,88.68249999999998
2024,Abu Dhabi Grand Prix,1,HARD,2,3.0,30.5,26.0,3,3,0.45700000000003627,32.0,2.0,89.13950000000001
2024,Abu Dhabi Grand Prix,1,HARD,2,4.0,30.5,25.0,3,3,0.2790000000000248,33.0,2.0,88.9615
2024,Abu Dhabi Grand Prix,1,HARD,2,5.0,30.4,24.0,3,3,0.37350000000003547,34.0,2.0,89.05600000000001
2024,Abu Dhabi Grand Prix,1,HARD,2,6.0,30.3,23.0,3,3,1.0940000000000225,35.0,2.0,89.7765
2024,Abu Dhabi Grand Prix,1,HARD,2,7.0,30.3,22.0,3,3,0.5570000000000306,36.0,2.0,89.2395
2024,Abu Dhabi Grand Prix,1,HARD,2,8.0,30.3,21.0,3,3,0.43000000000002103,37.0,2.0,89.1125
